Tags,project_type,category,project,total_debt
unused,Quantum,Web-Extension,catho/quantum,9.0
unused,Quantum,Fun/ Game,Quantum-Game/quantum-game-2,20.422535211267604
unused,Quantum,Fun/ Game,decodoku/A_Game_to_Benchmark_Quantum_Computers,4.94186046511628
unused,Quantum,Fun/ Game,HuangJunye/QPong,0.32
unused,Quantum,Fun/ Game,JavaFXpert/quantum-toy-piano-ibmq,32.53012048192771
unused,Quantum,Full-stack Library,Blueqat/Blueqat,23.809523809523814
unused,Quantum,Full-stack Library,softwareQinc/staq,3.813559322033898
unused,Quantum,Full-stack Library,rigetti/pyquil,21.21014964216005
unused,Quantum,Full-stack Library,microsoft/QuantumLibraries,6.896551724137931
unused,Quantum,Full-stack Library,microsoft/Quantum-NC,0
unused,Quantum,Full-stack Library,Qiskit/qiskit-terra,9.772088666874806
unused,Quantum,Full-stack Library,qiskit-community/qiskit-vscode,1.1627906976744184
unused,Quantum,Full-stack Library,QuantumPackage/qp2,6.849315068493151
unused,Quantum,Full-stack Library,qiskit-community/qiskit-js,9.610000000000001
unused,Quantum,Full-stack Library,ProjectQ-Framework/ProjectQ,33.360258481421646
unused,Quantum,Full-stack Library,quantumlib/Cirq,9.400244798041616
unused,Quantum,Full-stack Library,microsoft/Quantum,9.0
unused,Quantum,Full-stack Library,rigetti/rpcq,0.0
unused,Quantum,Full-stack Library,Qiskit/qiskit-ibmq-provider,1.2605042016806722
unused,Quantum,Full-stack Library,Qiskit/qiskit,6.018518518518519
unused,Quantum,Full-stack Library,XanaduAI/strawberryfields,19.834139599170697
unused,Quantum,Simulator,Approximates/dotBloch,0
unused,Quantum,Simulator,rigetti/qvm,0
unused,Quantum,Simulator,QuantumBFS/YaoBlocks.jl,0
unused,Quantum,Simulator,aparent/QCViewer,0.0
unused,Quantum,Simulator,microsoft/qmt,3.5509736540664374
unused,Quantum,Simulator,arguelles/nuSQuIDS,4.166666666666667
unused,Quantum,Simulator,vm6502q/qrack,0
unused,Quantum,Simulator,QuantumBFS/Yao.jl,25.531914893617017
unused,Quantum,Simulator,qutip/qutip,10.830000000000002
unused,Quantum,Simulator,Qiskit/qiskit-jku-provider,21.428571428571423
unused,Quantum,Simulator,Qiskit/qiskit-aer,37.363896848137536
unused,Quantum,Simulator,Strilanc/Quirk,68.91659501289767
unused,Quantum,Simulator,softwareQinc/qpp,0.0
unused,Quantum,Simulator,qulacs/qulacs,37.03703703703704
unused,Quantum,Simulator,quantumlib/OpenFermion-Cirq,4.157043879907622
unused,Quantum,Simulator,issp-center-dev/HPhi,9.374999999999998
unused,Quantum,Simulator,marvel-nccr/quantum-mobile,0.0
unused,Quantum,Simulator,SoftwareQuTech/SimulaQron,6.94
unused,Quantum,Simulator,ngnrsaa/qflex,24.324324324324323
unused,Quantum,Simulator,QuEST-Kit/QuEST,0.5499999999999999
unused,None-Quantum,None-Quantum,kivy/kivy,15.56
unused,None-Quantum,None-Quantum,frappe/bench,7.475582268970699
unused,None-Quantum,None-Quantum,dpgaspar/Flask-AppBuilder,13.200000000000001
unused,None-Quantum,None-Quantum,flexxui/flexx,32.14
unused,None-Quantum,None-Quantum,lbryio/lbry-sdk,11.42
unused,None-Quantum,None-Quantum,falconry/falcon,15.989263803680982
unused,None-Quantum,None-Quantum,django-tastypie/django-tastypie,13.513133867116169
unused,None-Quantum,None-Quantum,django-crispy-forms/django-crispy-forms,5.0186503899626995
unused,None-Quantum,None-Quantum,google/personfinder,9.81
unused,None-Quantum,None-Quantum,quack/quack,5.771812080536912
unused,None-Quantum,None-Quantum,nvbn/thefuck,0.8009858287122612
unused,None-Quantum,None-Quantum,cquery-project/cquery,3.4782608695652173
unused,None-Quantum,None-Quantum,AppImage/AppImageKit,0
unused,None-Quantum,None-Quantum,Nuitka/Nuitka,16.150000000000002
unused,None-Quantum,None-Quantum,jieter/django-tables2,14.611072179397338
unused,None-Quantum,None-Quantum,mjolnirapp/mjolnir,0.0
unused,None-Quantum,None-Quantum,AppDaemon/appdaemon,27.08526107072042
unused,None-Quantum,None-Quantum,Kunstmaan/KunstmaanBundlesCMS,0
unused,None-Quantum,None-Quantum,keystonejs/keystone-classic,3.2600000000000002
unused,None-Quantum,None-Quantum,emeryberger/CSrankings,17.726474956122587
unused,None-Quantum,None-Quantum,zetavm/zetavm,15.217391304347824
unused,None-Quantum,None-Quantum,pinax/pinax-stripe,0.24706609017912293
unused,None-Quantum,None-Quantum,plotly/dash,4.305912596401028
unused,None-Quantum,None-Quantum,wooey/Wooey,16.028495102404275
unused,None-Quantum,None-Quantum,vim-vdebug/vdebug,7.997557997557997
unused,None-Quantum,None-Quantum,SciML/DifferentialEquations.jl,0
unused,None-Quantum,None-Quantum,ps2homebrew/Open-PS2-Loader,8.583690987124463
unused,None-Quantum,None-Quantum,rajkumardusad/Tool-X,16.451612903225804
unused,None-Quantum,None-Quantum,Chuyu-Team/Dism-Multi-language,17.241379310344826
unused,None-Quantum,None-Quantum,guanguans/favorite-link,0
unused,None-Quantum,None-Quantum,pre-commit/pre-commit,1.3080168776371308
unused,None-Quantum,None-Quantum,dcloudio/mui,21.57
unused,None-Quantum,None-Quantum,owntracks/recorder,10.362694300518134
unused,None-Quantum,None-Quantum,janeczku/calibre-web,10.95
design,Quantum,Quantum Algorithsm,netket/netket,3.0172413793103448
design,Quantum,Quantum Algorithsm,JoshuaSBrown/QC_Tools,0
design,Quantum,Quantum Algorithsm,quantumlib/OpenFermion,8.340971585701192
design,Quantum,Quantum Algorithsm,ProjectQ-Framework/FermiLib,7.446808510638297
design,Quantum,Quantum Algorithsm,dwave-examples/factoring,41.666666666666664
design,Quantum,Quantum Algorithsm,PanPalitta/phase_estimation,0
design,Quantum,Quantum Algorithsm,qrefine/qrefine,2.0700000000000003
design,Quantum,Quantum Algorithsm,mabuchilab/QNET,3.8322405607054035
design,Quantum,Quantum Algorithsm,Qiskit/qiskit-aqua,6.7813029789295225
design,Quantum,Quantum Algorithsm,XanaduAI/thewalrus,0.5775577557755776
design,Quantum,Quantum Algorithsm,rigetti/grove,3.8095238095238098
design,Quantum,Quantum Algorithsm,Q-solvers/EDLib,0.0
design,Quantum,Quantum Algorithsm,aeantipov/pomerol,0.0
design,Quantum,Quantum Algorithsm,qucontrol/krotov,7.80532598714417
design,Quantum,ToolKit,qucat/qucat,3.2970451010886466
design,Quantum,ToolKit,orbkit/orbkit,3.0500000000000003
design,Quantum,ToolKit,deepchem/deepchem,1.9599999999999997
design,Quantum,ToolKit,bloomberg/quantum,0.02
design,Quantum,ToolKit,lmacken/quantumrandom,0.0
design,Quantum,ToolKit,rigetti/forest-benchmarking,3.407880724174654
design,Quantum,ToolKit,TRIQS/triqs,3.4999999999999996
design,Quantum,ToolKit,zoran-cuckovic/QGIS-visibility-analysis,0.8000000000000002
design,Quantum,ToolKit,QuTech-Delft/qtt,3.4
design,Quantum,ToolKit,evaleev/libint,0.0
design,Quantum,ToolKit,redhat-cip/openstack-quantum-puppet,0
design,Quantum,ToolKit,qubekit/QUBEKit,10.520094562647754
design,Quantum,ToolKit,OriginQ/QPanda-2,1.2547051442910917
design,Quantum,ToolKit,boschmitt/tweedledum,0
design,Quantum,ToolKit,qojulia/QuantumOptics.jl,100.0
design,Quantum,ToolKit,tensorflow/quantum,37.88819875776397
design,Quantum,ToolKit,XanaduAI/pennylane,7.508090614886731
design,Quantum,ToolKit,aiidateam/aiida-quantumespresso,5.15185601799775
design,Quantum,ToolKit,QInfer/python-qinfer,1.5224010439321445
design,Quantum,ToolKit,jcmgray/quimb,2.266705916985575
design,Quantum,ToolKit,Qiskit/qiskit-ignis,7.52
design,Quantum,Compiler,Quantomatic/pyzx,3.2460732984293195
design,Quantum,Compiler,microsoft/qsharp-compiler,0
design,Quantum,Compiler,QE-Lab/OpenQL,1.29
design,Quantum,Quantum-Chemistry,MolSSI-BSE/basis_set_exchange,11.876988335100743
design,Quantum,Quantum-Chemistry,Quantum-Dynamics-Hub/libra-code,1.7400000000000002
design,Quantum,Quantum-Chemistry,GQCG/GQCP,0.0
design,Quantum,Quantum-Chemistry,vonDonnerstein/QuantumLab.jl,0
design,Quantum,Quantum-Chemistry,QMCPACK/qmcpack,0
design,Quantum,Quantum-Chemistry,MolSSI/QCElemental,36.65086887835703
design,Quantum,Quantum-Chemistry,qcdb/qcdb,34.769999999999996
design,Quantum,Quantum-Chemistry,aoterodelaroza/critic2,0
design,Quantum,Quantum-Chemistry,ValeevGroup/mpqc,9.154929577464788
design,Quantum,Quantum-Chemistry,ericchansen/q2mm,15.803814713896458
design,Quantum,Quantum-Chemistry,MolSSI/QCFractal,15.249662618083672
design,Quantum,Quantum-Chemistry,cp2k/cp2k,0.21000000000000002
design,Quantum,Quantum-Chemistry,hande-qmc/hande,10.307017543859649
design,Quantum,Quantum-Chemistry,votca/xtp,0.0
design,Quantum,Quantum-Chemistry,pyscf/pyscf,6.77
design,Quantum,Quantum-Chemistry,tmancal74/quantarhei,3.26
design,Quantum,Quantum-Chemistry,LCPQ/quantum_package,7.715221924337206
design,Quantum,Quantum-Chemistry,MolSSI/QCEngine,32.36994219653179
