Repos_Name,Names,Created_at,login,Fork,Size,stars,releases,open_issues,commits,contributors,Travis,Docker,Language,tyoe,total_pr,total_is,created_at,updated_at,age,file_name,flag,Type,homepage,Description
vim-vdebug/vdebug,vdebug,2012-06-08T13:55:18Z,vim-vdebug,154,1138,1190,11,52,873,49,1,0,Python,0,144,440,2012-06-08T13:55:18Z,2020-09-25T16:42:52Z,3031,vdebug_snapshots,1,None,nan,"Multi-language DBGP debugger client for Vim (PHP, Python, Perl, Ruby, etc.)"
microsoft/Quantum,Quantum,2017-11-08T23:24:33Z,microsoft,606,37677,2878,1963,19,228,35,0,1,PowerShell,1,278,359,2017-11-08T23:24:33Z,2020-09-25T10:59:42Z,1051,Quantum_snapshots,1,Full-stack Library/ Framework,https://docs.microsoft.com/quantum,Microsoft Quantum Development Kit Samples
microsoft/QuantumLibraries,QuantumLibraries,2018-10-23T18:26:23Z,microsoft,64,12831,188,1896,20,268,20,0,0,C#,1,239,279,2018-10-23T18:26:23Z,2020-09-23T23:23:22Z,701,QuantumLibraries_snapshots,1,Full-stack Library/ Framework,https://docs.microsoft.com/quantum,Q# libraries for the Quantum Development Kit
microsoft/QuantumKatas,QuantumKatas,2018-06-06T20:02:33Z,microsoft,573,22367,2505,1886,16,196,61,0,1,Jupyter Notebook,1,369,448,2018-06-06T20:02:33Z,2020-09-25T19:26:36Z,841,QuantumKatas_snapshots,1,Quantum Algorithsm,,Tutorials and programming exercises for learning Q# and quantum computing
microsoft/Quantum-NC,Quantum-NC,2018-01-23T19:10:35Z,microsoft,28,1502,79,1882,3,101,10,0,0,F#,1,43,43,2018-01-23T19:10:35Z,2020-09-15T19:01:56Z,965,Quantum-NC_snapshots,1,Full-stack Library/ Framework,,Microsoft Quantum Computing Libraries for noncommercial use
microsoft/qsharp-compiler,qsharp-compiler,2019-06-07T18:48:01Z,microsoft,60,4550,335,1881,58,201,15,0,0,C#,1,457,538,2019-06-07T18:48:01Z,2020-09-25T23:45:12Z,476,qsharp-compiler_snapshots,1,Compiler,https://docs.microsoft.com/quantum,"Q# compiler, command line tool, and Q# language server"
Aris-t2/CustomCSSforFx,CustomCSSforFx,2017-10-04T08:36:41Z,Aris-t2,121,3038,1046,218,20,427,11,0,0,CSS,1,30,303,2017-10-04T08:36:41Z,2020-09-24T22:15:18Z,1086,CustomCSSforFx_snapshots,1,Other-Quantum,,Custom CSS tweaks for Firefox Quantum
TechReborn/RebornCore,RebornCore,2015-11-08T10:36:53Z,TechReborn,41,5239,36,133,8,1441,27,0,0,Java,1,55,147,2015-11-08T10:36:53Z,2020-09-19T15:52:27Z,1777,N/A,0,Library/ Framework,,"Reborn Core is a library used for many of the Tech Reborn team's mods, including Tech Reborn, Quantum Storage, Fluxed Redstone, Hardcore Map Reset, and many more."
catho/quantum,quantum,2019-01-08T10:04:56Z,catho,16,23622,32,108,12,1124,15,1,0,JavaScript,1,218,246,2019-01-08T10:04:56Z,2020-09-24T13:57:59Z,625,quantum_snapshots,1,Other-Quantum,https://catho.github.io/quantum,The default pack of components and layout principles that dictates Catho Frontend applications.
theQRL/QRL,QRL,2016-10-16T14:32:40Z,theQRL,81,14118,328,84,22,3556,30,0,0,Python,1,1499,1689,2016-10-16T14:32:40Z,2020-09-22T19:32:10Z,1437,QRL_snapshots,1,Cryptography,https://theqrl.org/,Quantum Resistant Ledger 
rigetti/pyquil,pyquil,2017-01-09T21:30:22Z,rigetti,279,69128,1033,64,116,957,73,1,1,Python,1,706,1128,2017-01-09T21:30:22Z,2020-09-25T12:04:49Z,1354,pyquil_snapshots,1,Full-stack Library/ Framework,http://docs.rigetti.com,A Python library for quantum programming using Quil.
ValeevGroup/mpqc,mpqc,2013-08-15T15:28:10Z,ValeevGroup,19,364241,36,59,2,4481,18,0,0,C++,1,10,55,2013-08-15T15:28:10Z,2020-02-07T23:46:07Z,2367,mpqc_60_snapshots,1, Chemistry/ Other-Quantum,,"The Massively Parallel Quantum Chemistry program, MPQC, computes properties of atoms and molecules from first principles using the time independent Schrödinger equation."
pyscf/pyscf,pyscf,2014-05-02T18:42:25Z,pyscf,227,80151,381,56,65,7219,63,1,0,Python,1,310,630,2014-05-02T18:42:25Z,2020-09-25T19:56:55Z,2338,pyscf_snapshots,1,Chemistry/ Other-Quantum,,Python module for quantum chemistry
Qiskit/qiskit-terra,qiskit-terra,2017-03-03T17:02:42Z,Qiskit,1108,51762,2782,56,376,3452,144,1,0,Python,1,3021,4732,2017-03-03T17:02:42Z,2020-09-26T03:29:21Z,1302,qiskit-terra_snapshots,1,Full-Stack Library,https://qiskit.org/terra,"Terra provides the foundations for Qiskit. It allows the user to write quantum circuits easily, and takes care of the constraints of real hardware."
quantum-elixir/quantum-core,quantum-core,2015-04-27T11:56:49Z,quantum-elixir,113,764,1519,55,12,654,52,0,0,Elixir,1,257,452,2015-04-27T11:56:49Z,2020-09-25T14:48:21Z,1978,quantum-core_snapshots,1,Other-Quantum,https://hexdocs.pm/quantum/,:watch: Cron-like job scheduler for Elixir
sunqm/libcint,libcint,2013-01-19T04:16:58Z,sunqm,31,40211,60,48,3,288,5,1,0,C,1,16,40,2013-01-19T04:16:58Z,2020-09-12T05:12:35Z,2792,N/A,0,Chemistry/ Other-Quantum,wiki.sunqm.net/libcint,general GTO integrals for quantum chemistry
